,FORMULA,stabilityVec
543,Cs0.1 Al0.9,0.0
543,Al1,1.0
544,Cs1,1.0
544,Cs0.9 Au0.1,0.0
544,Cs0.8 Au0.2,0.0
544,Cs0.7 Au0.3,0.0
544,Cs0.6 Au0.4,0.0
544,Cs0.5 Au0.5,1.0
544,Cs0.4 Au0.6,0.0
544,Cs0.3 Au0.7,0.0
544,Cs0.2 Au0.8,0.0
544,Cs0.1 Au0.9,0.0
544,Au1,1.0
545,Cs1,1.0
545,Cs0.9 B0.1,0.0
545,Cs0.8 B0.2,0.0
545,Cs0.7 B0.3,0.0
545,Cs0.6 B0.4,0.0
545,Cs0.5 B0.5,0.0
545,Cs0.4 B0.6,0.0
545,Cs0.3 B0.7,0.0
545,Cs0.2 B0.8,0.0
545,Cs0.1 B0.9,0.0
545,B1,1.0
546,Cs1,1.0
546,Cs0.9 Be0.1,0.0
546,Cs0.8 Be0.2,0.0
546,Cs0.7 Be0.3,0.0
546,Cs0.6 Be0.4,0.0
546,Cs0.5 Be0.5,0.0
546,Cs0.4 Be0.6,0.0
546,Cs0.3 Be0.7,0.0
546,Cs0.2 Be0.8,0.0
546,Cs0.1 Be0.9,0.0
546,Be1,1.0
547,Cs1,1.0
547,Cs0.9 C0.1,1.0
547,Cs0.8 C0.2,0.0
547,Cs0.7 C0.3,0.0
547,Cs0.6 C0.4,0.0
547,Cs0.5 C0.5,0.0
547,Cs0.4 C0.6,0.0
547,Cs0.3 C0.7,0.0
547,Cs0.2 C0.8,0.0
547,Cs0.1 C0.9,0.0
547,C1,1.0
548,Cs1,1.0
548,Cs0.9 Cd0.1,1.0
548,Cs0.8 Cd0.2,0.0
548,Cs0.7 Cd0.3,0.0
548,Cs0.6 Cd0.4,0.0
548,Cs0.5 Cd0.5,0.0
548,Cs0.4 Cd0.6,0.0
548,Cs0.3 Cd0.7,0.0
548,Cs0.2 Cd0.8,0.0
548,Cs0.1 Cd0.9,0.0
548,Cd1,1.0
549,Cs1,1.0
549,Cs0.9 Co0.1,0.0
549,Cs0.8 Co0.2,0.0
549,Cs0.7 Co0.3,0.0
549,Cs0.6 Co0.4,0.0
549,Cs0.5 Co0.5,0.0
549,Cs0.4 Co0.6,0.0
549,Cs0.3 Co0.7,0.0
549,Cs0.2 Co0.8,0.0
549,Cs0.1 Co0.9,0.0
549,Co1,1.0
550,Cs1,1.0
550,Cs0.9 Cr0.1,0.0
550,Cs0.8 Cr0.2,0.0
550,Cs0.7 Cr0.3,0.0
550,Cs0.6 Cr0.4,0.0
550,Cs0.5 Cr0.5,0.0
550,Cs0.4 Cr0.6,0.0
550,Cs0.3 Cr0.7,0.0
550,Cs0.2 Cr0.8,0.0
550,Cs0.1 Cr0.9,0.0
550,Cr1,1.0
551,Cs1,1.0
551,Cs0.9 Cu0.1,0.0
551,Cs0.8 Cu0.2,0.0
551,Cs0.7 Cu0.3,0.0
551,Cs0.6 Cu0.4,0.0
551,Cs0.5 Cu0.5,0.0
551,Cs0.4 Cu0.6,0.0
551,Cs0.3 Cu0.7,0.0
551,Cs0.2 Cu0.8,0.0
551,Cs0.1 Cu0.9,0.0
551,Cu1,1.0
552,Cs1,1.0
552,Cs0.9 Dy0.1,0.0
552,Cs0.8 Dy0.2,0.0
552,Cs0.7 Dy0.3,0.0
552,Cs0.6 Dy0.4,0.0
552,Cs0.5 Dy0.5,0.0
552,Cs0.4 Dy0.6,0.0
552,Cs0.3 Dy0.7,0.0
552,Cs0.2 Dy0.8,0.0
552,Cs0.1 Dy0.9,0.0
552,Dy1,1.0
553,Cs1,1.0
553,Cs0.9 Eu0.1,0.0
553,Cs0.8 Eu0.2,0.0
553,Cs0.7 Eu0.3,0.0
553,Cs0.6 Eu0.4,0.0
553,Cs0.5 Eu0.5,0.0
553,Cs0.4 Eu0.6,0.0
553,Cs0.3 Eu0.7,0.0
553,Cs0.2 Eu0.8,0.0
553,Cs0.1 Eu0.9,0.0
553,Eu1,1.0
554,Cs1,1.0
554,Cs0.9 Fe0.1,0.0
554,Cs0.8 Fe0.2,0.0
554,Cs0.7 Fe0.3,0.0
554,Cs0.6 Fe0.4,0.0
554,Cs0.5 Fe0.5,0.0
554,Cs0.4 Fe0.6,0.0
554,Cs0.3 Fe0.7,0.0
554,Cs0.2 Fe0.8,0.0
554,Cs0.1 Fe0.9,0.0
554,Fe1,1.0
555,Cs1,1.0
555,Cs0.9 He0.1,0.0
555,Cs0.8 He0.2,0.0
555,Cs0.7 He0.3,0.0
555,Cs0.6 He0.4,0.0
555,Cs0.5 He0.5,0.0
555,Cs0.4 He0.6,0.0
555,Cs0.3 He0.7,0.0
555,Cs0.2 He0.8,0.0
555,Cs0.1 He0.9,0.0
555,He1,1.0
556,Cs1,1.0
556,Cs0.9 Hg0.1,1.0
556,Cs0.8 Hg0.2,1.0
556,Cs0.7 Hg0.3,1.0
556,Cs0.6 Hg0.4,0.0
556,Cs0.5 Hg0.5,0.0
556,Cs0.4 Hg0.6,0.0
556,Cs0.3 Hg0.7,0.0
556,Cs0.2 Hg0.8,0.0
556,Cs0.1 Hg0.9,0.0
556,Hg1,1.0
557,Cs1,1.0
557,Cs0.9 La0.1,0.0
557,Cs0.8 La0.2,0.0
557,Cs0.7 La0.3,0.0
557,Cs0.6 La0.4,0.0
557,Cs0.5 La0.5,0.0
557,Cs0.4 La0.6,0.0
557,Cs0.3 La0.7,0.0
557,Cs0.2 La0.8,0.0
557,Cs0.1 La0.9,0.0
557,La1,1.0
558,Cs1,1.0
558,Cs0.9 Mn0.1,0.0
558,Cs0.8 Mn0.2,0.0
558,Cs0.7 Mn0.3,0.0
558,Cs0.6 Mn0.4,0.0
558,Cs0.5 Mn0.5,0.0
558,Cs0.4 Mn0.6,0.0
558,Cs0.3 Mn0.7,0.0
558,Cs0.2 Mn0.8,0.0
558,Cs0.1 Mn0.9,0.0
558,Mn1,1.0
559,Cs1,1.0
559,Cs0.9 Nd0.1,0.0
559,Cs0.8 Nd0.2,0.0
559,Cs0.7 Nd0.3,0.0
559,Cs0.6 Nd0.4,0.0
559,Cs0.5 Nd0.5,0.0
559,Cs0.4 Nd0.6,0.0
559,Cs0.3 Nd0.7,0.0
559,Cs0.2 Nd0.8,0.0
559,Cs0.1 Nd0.9,0.0
559,Nd1,1.0
560,Cs1,1.0
560,Cs0.9 Ne0.1,0.0
560,Cs0.8 Ne0.2,0.0
560,Cs0.7 Ne0.3,0.0
560,Cs0.6 Ne0.4,0.0
560,Cs0.5 Ne0.5,0.0
560,Cs0.4 Ne0.6,0.0
560,Cs0.3 Ne0.7,0.0
560,Cs0.2 Ne0.8,0.0
560,Cs0.1 Ne0.9,0.0
560,Ne1,1.0
561,Cs1,1.0
561,Cs0.9 Os0.1,0.0
561,Cs0.8 Os0.2,0.0
561,Cs0.7 Os0.3,0.0
561,Cs0.6 Os0.4,0.0
561,Cs0.5 Os0.5,0.0
561,Cs0.4 Os0.6,0.0
561,Cs0.3 Os0.7,0.0
561,Cs0.2 Os0.8,0.0
561,Cs0.1 Os0.9,0.0
561,Os1,1.0
562,Cs1,1.0
562,Cs0.9 P0.1,0.0
562,Cs0.8 P0.2,0.0
562,Cs0.7 P0.3,1.0
562,Cs0.6 P0.4,1.0
562,Cs0.5 P0.5,0.0
562,Cs0.4 P0.6,0.0
562,Cs0.3 P0.7,0.0
562,Cs0.2 P0.8,0.0
562,Cs0.1 P0.9,0.0
562,P1,1.0
563,Cs1,1.0
563,Cs0.9 Pb0.1,0.0
563,Cs0.8 Pb0.2,0.0
563,Cs0.7 Pb0.3,1.0
563,Cs0.6 Pb0.4,0.0
563,Cs0.5 Pb0.5,0.0
563,Cs0.4 Pb0.6,0.0
563,Cs0.3 Pb0.7,0.0
563,Cs0.2 Pb0.8,0.0
563,Cs0.1 Pb0.9,0.0
563,Pb1,1.0
564,Cs1,1.0
564,Cs0.9 Rb0.1,0.0
564,Cs0.8 Rb0.2,0.0
564,Cs0.7 Rb0.3,0.0
564,Cs0.6 Rb0.4,0.0
564,Cs0.5 Rb0.5,0.0
564,Cs0.4 Rb0.6,0.0
564,Cs0.3 Rb0.7,0.0
564,Cs0.2 Rb0.8,0.0
564,Cs0.1 Rb0.9,0.0
564,Rb1,1.0
565,Cs1,1.0
565,Cs0.9 Re0.1,0.0
565,Cs0.8 Re0.2,0.0
565,Cs0.7 Re0.3,0.0
565,Cs0.6 Re0.4,0.0
565,Cs0.5 Re0.5,0.0
565,Cs0.4 Re0.6,0.0
565,Cs0.3 Re0.7,0.0
565,Cs0.2 Re0.8,0.0
565,Cs0.1 Re0.9,0.0
565,Re1,1.0
566,Cs1,1.0
566,Cs0.9 Si0.1,0.0
566,Cs0.8 Si0.2,0.0
566,Cs0.7 Si0.3,0.0
566,Cs0.6 Si0.4,0.0
566,Cs0.5 Si0.5,1.0
566,Cs0.4 Si0.6,0.0
566,Cs0.3 Si0.7,0.0
566,Cs0.2 Si0.8,0.0
566,Cs0.1 Si0.9,0.0
566,Si1,1.0
567,Cs1,1.0
567,Cs0.9 Th0.1,0.0
567,Cs0.8 Th0.2,0.0
567,Cs0.7 Th0.3,0.0
567,Cs0.6 Th0.4,0.0
567,Cs0.5 Th0.5,0.0
567,Cs0.4 Th0.6,0.0
567,Cs0.3 Th0.7,0.0
567,Cs0.2 Th0.8,0.0
567,Cs0.1 Th0.9,0.0
567,Th1,1.0
568,Cs1,1.0
568,Cs0.9 Tl0.1,0.0
568,Cs0.8 Tl0.2,0.0
568,Cs0.7 Tl0.3,0.0
568,Cs0.6 Tl0.4,0.0
568,Cs0.5 Tl0.5,0.0
568,Cs0.4 Tl0.6,0.0
568,Cs0.3 Tl0.7,0.0
568,Cs0.2 Tl0.8,0.0
568,Cs0.1 Tl0.9,0.0
568,Tl1,1.0
569,Cs1,1.0
569,Cs0.9 Tm0.1,0.0
569,Cs0.8 Tm0.2,0.0
569,Cs0.7 Tm0.3,0.0
569,Cs0.6 Tm0.4,0.0
569,Cs0.5 Tm0.5,0.0
569,Cs0.4 Tm0.6,0.0
569,Cs0.3 Tm0.7,0.0
569,Cs0.2 Tm0.8,0.0
569,Cs0.1 Tm0.9,0.0
569,Tm1,1.0
570,Cu1,1.0
570,Ac0.1 Cu0.9,0.0
570,Ac0.2 Cu0.8,0.0
570,Ac0.3 Cu0.7,0.0
570,Ac0.4 Cu0.6,0.0
570,Ac0.5 Cu0.5,0.0
570,Ac0.6 Cu0.4,0.0
570,Ac0.7 Cu0.3,0.0
570,Ac0.8 Cu0.2,0.0
570,Ac0.9 Cu0.1,0.0
570,Ac1,1.0
571,Cu1,1.0
571,Cu0.9 Ar0.1,0.0
571,Cu0.8 Ar0.2,0.0
571,Cu0.7 Ar0.3,0.0
571,Cu0.6 Ar0.4,0.0
571,Cu0.5 Ar0.5,0.0
571,Cu0.4 Ar0.6,0.0
571,Cu0.3 Ar0.7,0.0
571,Cu0.2 Ar0.8,0.0
571,Cu0.1 Ar0.9,0.0
571,Ar1,1.0
572,Cu1,1.0
572,Cu0.9 As0.1,0.0
572,Cu0.8 As0.2,0.0
572,Cu0.7 As0.3,0.0
572,Cu0.6 As0.4,0.0
572,Cu0.5 As0.5,0.0
572,Cu0.4 As0.6,0.0
572,Cu0.3 As0.7,0.0
572,Cu0.2 As0.8,0.0
572,Cu0.1 As0.9,0.0
572,As1,1.0
573,Cu1,1.0
573,Cu0.9 Au0.1,0.0
573,Cu0.8 Au0.2,0.0
573,Cu0.7 Au0.3,0.0
573,Cu0.6 Au0.4,0.0
573,Cu0.5 Au0.5,1.0
573,Cu0.4 Au0.6,0.0
573,Cu0.3 Au0.7,0.0
573,Cu0.2 Au0.8,1.0
573,Cu0.1 Au0.9,0.0
573,Au1,1.0
574,Cu1,1.0
574,Cu0.9 B0.1,0.0
574,Cu0.8 B0.2,0.0
574,Cu0.7 B0.3,0.0
574,Cu0.6 B0.4,0.0
574,Cu0.5 B0.5,0.0
574,Cu0.4 B0.6,0.0
574,Cu0.3 B0.7,0.0
574,Cu0.2 B0.8,0.0
574,Cu0.1 B0.9,0.0
574,B1,1.0
575,Cu1,1.0
575,Ba0.1 Cu0.9,0.0
575,Ba0.2 Cu0.8,0.0
575,Ba0.3 Cu0.7,0.0
575,Ba0.4 Cu0.6,0.0
575,Ba0.5 Cu0.5,1.0
575,Ba0.6 Cu0.4,0.0
575,Ba0.7 Cu0.3,0.0
575,Ba0.8 Cu0.2,0.0
575,Ba0.9 Cu0.1,1.0
575,Ba1,1.0
576,Cu1,1.0
576,Cu0.9 Br0.1,0.0
576,Cu0.8 Br0.2,0.0
576,Cu0.7 Br0.3,1.0
576,Cu0.6 Br0.4,0.0
576,Cu0.5 Br0.5,1.0
576,Cu0.4 Br0.6,0.0
576,Cu0.3 Br0.7,0.0
576,Cu0.2 Br0.8,0.0
576,Cu0.1 Br0.9,0.0
576,Br1,1.0
577,Cu1,1.0
577,Cu0.9 C0.1,0.0
577,Cu0.8 C0.2,0.0
577,Cu0.7 C0.3,0.0
577,Cu0.6 C0.4,0.0
577,Cu0.5 C0.5,0.0
577,Cu0.4 C0.6,0.0
577,Cu0.3 C0.7,0.0
577,Cu0.2 C0.8,0.0
577,Cu0.1 C0.9,0.0
577,C1,1.0
578,Cu1,1.0
578,Ca0.1 Cu0.9,0.0
578,Ca0.2 Cu0.8,0.0
578,Ca0.3 Cu0.7,1.0
578,Ca0.4 Cu0.6,0.0
578,Ca0.5 Cu0.5,1.0
578,Ca0.6 Cu0.4,0.0
578,Ca0.7 Cu0.3,0.0
578,Ca0.8 Cu0.2,1.0
578,Ca0.9 Cu0.1,0.0
578,Ca1,1.0
579,Cu1,1.0
579,Cd0.1 Cu0.9,0.0
579,Cd0.2 Cu0.8,0.0
579,Cd0.3 Cu0.7,0.0
579,Cd0.4 Cu0.6,0.0
579,Cd0.5 Cu0.5,0.0
579,Cd0.6 Cu0.4,0.0
579,Cd0.7 Cu0.3,0.0
579,Cd0.8 Cu0.2,0.0
579,Cd0.9 Cu0.1,0.0
579,Cd1,1.0
580,Cu1,1.0
580,Co0.1 Cu0.9,0.0
580,Co0.2 Cu0.8,0.0
580,Co0.3 Cu0.7,0.0
580,Co0.4 Cu0.6,0.0
580,Co0.5 Cu0.5,0.0
580,Co0.6 Cu0.4,0.0
580,Co0.7 Cu0.3,0.0
580,Co0.8 Cu0.2,0.0
580,Co0.9 Cu0.1,0.0
580,Co1,1.0
581,Cu1,1.0
581,Dy0.1 Cu0.9,0.0
581,Dy0.2 Cu0.8,0.0
581,Dy0.3 Cu0.7,0.0
581,Dy0.4 Cu0.6,0.0
581,Dy0.5 Cu0.5,1.0
581,Dy0.6 Cu0.4,0.0
581,Dy0.7 Cu0.3,0.0
581,Dy0.8 Cu0.2,1.0
581,Dy0.9 Cu0.1,0.0
581,Dy1,1.0
582,Cu1,1.0
582,Eu0.1 Cu0.9,0.0
582,Eu0.2 Cu0.8,0.0
582,Eu0.3 Cu0.7,0.0
582,Eu0.4 Cu0.6,0.0
582,Eu0.5 Cu0.5,0.0
582,Eu0.6 Cu0.4,0.0
582,Eu0.7 Cu0.3,0.0
582,Eu0.8 Cu0.2,1.0
582,Eu0.9 Cu0.1,0.0
582,Eu1,1.0
583,Cu1,1.0
583,In0.1 Cu0.9,0.0
583,In0.2 Cu0.8,0.0
583,In0.3 Cu0.7,0.0
583,In0.4 Cu0.6,0.0
583,In0.5 Cu0.5,0.0
583,In0.6 Cu0.4,1.0
583,In0.7 Cu0.3,1.0
583,In0.8 Cu0.2,0.0
583,In0.9 Cu0.1,0.0
583,In1,1.0
584,Cu1,1.0
584,K0.1 Cu0.9,0.0
584,K0.2 Cu0.8,0.0
584,K0.3 Cu0.7,0.0
584,K0.4 Cu0.6,0.0
584,K0.5 Cu0.5,0.0
584,K0.6 Cu0.4,0.0
584,K0.7 Cu0.3,0.0
584,K0.8 Cu0.2,0.0
584,K0.9 Cu0.1,0.0
584,K1,1.0
585,Cu1,1.0
585,Mn0.1 Cu0.9,0.0
585,Mn0.2 Cu0.8,0.0
585,Mn0.3 Cu0.7,0.0
585,Mn0.4 Cu0.6,0.0
585,Mn0.5 Cu0.5,0.0
585,Mn0.6 Cu0.4,0.0
585,Mn0.7 Cu0.3,0.0
585,Mn0.8 Cu0.2,0.0
585,Mn0.9 Cu0.1,0.0
585,Mn1,1.0
586,Cu1,1.0
586,Cu0.9 Ne0.1,0.0
586,Cu0.8 Ne0.2,0.0
586,Cu0.7 Ne0.3,0.0
586,Cu0.6 Ne0.4,0.0
586,Cu0.5 Ne0.5,0.0
586,Cu0.4 Ne0.6,0.0
586,Cu0.3 Ne0.7,0.0
586,Cu0.2 Ne0.8,0.0
586,Cu0.1 Ne0.9,0.0
586,Ne1,1.0
587,Cu1,1.0
587,Cu0.9 Ni0.1,0.0
587,Cu0.8 Ni0.2,0.0
587,Cu0.7 Ni0.3,0.0
587,Cu0.6 Ni0.4,0.0
587,Cu0.5 Ni0.5,0.0
587,Cu0.4 Ni0.6,0.0
587,Cu0.3 Ni0.7,0.0
587,Cu0.2 Ni0.8,0.0
587,Cu0.1 Ni0.9,0.0
587,Ni1,1.0
588,Cu1,1.0
588,Cu0.9 Pb0.1,0.0
588,Cu0.8 Pb0.2,0.0
588,Cu0.7 Pb0.3,0.0
588,Cu0.6 Pb0.4,0.0
588,Cu0.5 Pb0.5,0.0
588,Cu0.4 Pb0.6,0.0
588,Cu0.3 Pb0.7,0.0
588,Cu0.2 Pb0.8,0.0
588,Cu0.1 Pb0.9,0.0
588,Pb1,1.0
589,Cu1,1.0
589,Pm0.1 Cu0.9,0.0
589,Pm0.2 Cu0.8,0.0
589,Pm0.3 Cu0.7,0.0
589,Pm0.4 Cu0.6,0.0
589,Pm0.5 Cu0.5,0.0
589,Pm0.6 Cu0.4,0.0
589,Pm0.7 Cu0.3,0.0
589,Pm0.8 Cu0.2,1.0
589,Pm0.9 Cu0.1,0.0
589,Pm1,1.0
590,Cu1,1.0
590,Pr0.1 Cu0.9,0.0
590,Pr0.2 Cu0.8,0.0
590,Pr0.3 Cu0.7,0.0
590,Pr0.4 Cu0.6,0.0
590,Pr0.5 Cu0.5,0.0
590,Pr0.6 Cu0.4,0.0
590,Pr0.7 Cu0.3,0.0
590,Pr0.8 Cu0.2,1.0
590,Pr0.9 Cu0.1,0.0
590,Pr1,1.0
591,Cu1,1.0
591,Cu0.9 Sb0.1,0.0
591,Cu0.8 Sb0.2,0.0
591,Cu0.7 Sb0.3,0.0
591,Cu0.6 Sb0.4,0.0
591,Cu0.5 Sb0.5,0.0
591,Cu0.4 Sb0.6,0.0
591,Cu0.3 Sb0.7,0.0
591,Cu0.2 Sb0.8,0.0
591,Cu0.1 Sb0.9,0.0
591,Sb1,1.0
592,Cu1,1.0
592,Cu0.9 Se0.1,0.0
592,Cu0.8 Se0.2,0.0
592,Cu0.7 Se0.3,1.0
592,Cu0.6 Se0.4,0.0
592,Cu0.5 Se0.5,1.0
592,Cu0.4 Se0.6,1.0
592,Cu0.3 Se0.7,0.0
592,Cu0.2 Se0.8,0.0
592,Cu0.1 Se0.9,0.0
592,Se1,1.0
593,Cu1,1.0
593,Sm0.1 Cu0.9,0.0
593,Sm0.2 Cu0.8,0.0
593,Sm0.3 Cu0.7,0.0
593,Sm0.4 Cu0.6,0.0
593,Sm0.5 Cu0.5,1.0
593,Sm0.6 Cu0.4,0.0
593,Sm0.7 Cu0.3,0.0
593,Sm0.8 Cu0.2,1.0
593,Sm0.9 Cu0.1,0.0
593,Sm1,1.0
594,Cu1,1.0
594,Sr0.1 Cu0.9,0.0
594,Sr0.2 Cu0.8,0.0
594,Sr0.3 Cu0.7,0.0
594,Sr0.4 Cu0.6,0.0
594,Sr0.5 Cu0.5,0.0
594,Sr0.6 Cu0.4,0.0
594,Sr0.7 Cu0.3,0.0
594,Sr0.8 Cu0.2,1.0
594,Sr0.9 Cu0.1,0.0
594,Sr1,1.0
595,Cu1,1.0
595,Tb0.1 Cu0.9,0.0
595,Tb0.2 Cu0.8,0.0
595,Tb0.3 Cu0.7,0.0
595,Tb0.4 Cu0.6,0.0
595,Tb0.5 Cu0.5,1.0
595,Tb0.6 Cu0.4,0.0
595,Tb0.7 Cu0.3,1.0
595,Tb0.8 Cu0.2,1.0
595,Tb0.9 Cu0.1,0.0
595,Tb1,1.0
596,Cu1,1.0
596,Cu0.9 Tc0.1,0.0
596,Cu0.8 Tc0.2,0.0
596,Cu0.7 Tc0.3,0.0
596,Cu0.6 Tc0.4,0.0
596,Cu0.5 Tc0.5,0.0
596,Cu0.4 Tc0.6,0.0
596,Cu0.3 Tc0.7,0.0
596,Cu0.2 Tc0.8,0.0
596,Cu0.1 Tc0.9,0.0
596,Tc1,1.0
597,Cu1,1.0
597,Cu0.9 Te0.1,0.0
597,Cu0.8 Te0.2,0.0
597,Cu0.7 Te0.3,0.0
597,Cu0.6 Te0.4,0.0
597,Cu0.5 Te0.5,1.0
597,Cu0.4 Te0.6,0.0
597,Cu0.3 Te0.7,0.0
597,Cu0.2 Te0.8,0.0
597,Cu0.1 Te0.9,0.0
597,Te1,1.0
598,Cu1,1.0
598,Ti0.1 Cu0.9,0.0
598,Ti0.2 Cu0.8,0.0
598,Ti0.3 Cu0.7,1.0
598,Ti0.4 Cu0.6,0.0
598,Ti0.5 Cu0.5,1.0
598,Ti0.6 Cu0.4,1.0
598,Ti0.7 Cu0.3,0.0
598,Ti0.8 Cu0.2,1.0
598,Ti0.9 Cu0.1,0.0
598,Ti1,1.0
599,Cu1,1.0
599,Tl0.1 Cu0.9,0.0
599,Tl0.2 Cu0.8,0.0
599,Tl0.3 Cu0.7,0.0
599,Tl0.4 Cu0.6,0.0
599,Tl0.5 Cu0.5,0.0
599,Tl0.6 Cu0.4,0.0
599,Tl0.7 Cu0.3,0.0
599,Tl0.8 Cu0.2,0.0
599,Tl0.9 Cu0.1,0.0
599,Tl1,1.0
600,Cu1,1.0
600,Tm0.1 Cu0.9,0.0
600,Tm0.2 Cu0.8,0.0
600,Tm0.3 Cu0.7,0.0
600,Tm0.4 Cu0.6,0.0
600,Tm0.5 Cu0.5,1.0
600,Tm0.6 Cu0.4,0.0
600,Tm0.7 Cu0.3,0.0
600,Tm0.8 Cu0.2,1.0
600,Tm0.9 Cu0.1,0.0
600,Tm1,1.0
601,Cu1,1.0
601,U0.1 Cu0.9,0.0
601,U0.2 Cu0.8,0.0
601,U0.3 Cu0.7,0.0
601,U0.4 Cu0.6,0.0
601,U0.5 Cu0.5,0.0
601,U0.6 Cu0.4,0.0
601,U0.7 Cu0.3,0.0
601,U0.8 Cu0.2,0.0
601,U0.9 Cu0.1,0.0
601,U1,1.0
602,Cu1,1.0
602,Cu0.9 W0.1,0.0
602,Cu0.8 W0.2,0.0
602,Cu0.7 W0.3,0.0
602,Cu0.6 W0.4,0.0
602,Cu0.5 W0.5,0.0
602,Cu0.4 W0.6,0.0
602,Cu0.3 W0.7,0.0
602,Cu0.2 W0.8,0.0
602,Cu0.1 W0.9,0.0
602,W1,1.0
603,Cu1,1.0
603,Zn0.1 Cu0.9,0.0
603,Zn0.2 Cu0.8,0.0
603,Zn0.3 Cu0.7,0.0
603,Zn0.4 Cu0.6,1.0
603,Zn0.5 Cu0.5,0.0
603,Zn0.6 Cu0.4,0.0
603,Zn0.7 Cu0.3,0.0
603,Zn0.8 Cu0.2,0.0
603,Zn0.9 Cu0.1,0.0
603,Zn1,1.0
604,Dy1,1.0
604,Ac0.1 Dy0.9,0.0
604,Ac0.2 Dy0.8,0.0
604,Ac0.3 Dy0.7,0.0
604,Ac0.4 Dy0.6,0.0
604,Ac0.5 Dy0.5,0.0
604,Ac0.6 Dy0.4,0.0
604,Ac0.7 Dy0.3,0.0
604,Ac0.8 Dy0.2,0.0
604,Ac0.9 Dy0.1,0.0
604,Ac1,1.0
605,Dy1,1.0
605,Dy0.9 As0.1,0.0
605,Dy0.8 As0.2,0.0
605,Dy0.7 As0.3,0.0
605,Dy0.6 As0.4,0.0
605,Dy0.5 As0.5,1.0
605,Dy0.4 As0.6,0.0
605,Dy0.3 As0.7,0.0
605,Dy0.2 As0.8,0.0
605,Dy0.1 As0.9,0.0
605,As1,1.0
606,Dy1,1.0
606,Dy0.9 Au0.1,0.0
606,Dy0.8 Au0.2,0.0
606,Dy0.7 Au0.3,1.0
606,Dy0.6 Au0.4,0.0
606,Dy0.5 Au0.5,1.0
606,Dy0.4 Au0.6,0.0
606,Dy0.3 Au0.7,0.0
606,Dy0.2 Au0.8,0.0
606,Dy0.1 Au0.9,0.0
606,Au1,1.0
607,Dy1,1.0
607,Dy0.9 B0.1,0.0
607,Dy0.8 B0.2,1.0
607,Dy0.7 B0.3,1.0
607,Dy0.6 B0.4,0.0
607,Dy0.5 B0.5,0.0
607,Dy0.4 B0.6,0.0
607,Dy0.3 B0.7,0.0
607,Dy0.2 B0.8,0.0
607,Dy0.1 B0.9,0.0
607,B1,1.0
608,Dy1,1.0
608,Dy0.9 Bi0.1,0.0
608,Dy0.8 Bi0.2,0.0
608,Dy0.7 Bi0.3,0.0
608,Dy0.6 Bi0.4,0.0
608,Dy0.5 Bi0.5,1.0
608,Dy0.4 Bi0.6,1.0
608,Dy0.3 Bi0.7,0.0
608,Dy0.2 Bi0.8,0.0
608,Dy0.1 Bi0.9,0.0
608,Bi1,1.0
609,Dy1,1.0
609,Ca0.1 Dy0.9,0.0
609,Ca0.2 Dy0.8,0.0
609,Ca0.3 Dy0.7,0.0
609,Ca0.4 Dy0.6,0.0
609,Ca0.5 Dy0.5,0.0
609,Ca0.6 Dy0.4,0.0
609,Ca0.7 Dy0.3,0.0
609,Ca0.8 Dy0.2,0.0
609,Ca0.9 Dy0.1,0.0
609,Ca1,1.0
610,Dy1,1.0
610,Ce0.1 Dy0.9,0.0
610,Ce0.2 Dy0.8,0.0
610,Ce0.3 Dy0.7,0.0
610,Ce0.4 Dy0.6,0.0
610,Ce0.5 Dy0.5,0.0
610,Ce0.6 Dy0.4,0.0
610,Ce0.7 Dy0.3,0.0
610,Ce0.8 Dy0.2,0.0
610,Ce0.9 Dy0.1,0.0
610,Ce1,1.0
611,Dy1,1.0
611,Dy0.9 Co0.1,1.0
611,Dy0.8 Co0.2,0.0
611,Dy0.7 Co0.3,1.0
611,Dy0.6 Co0.4,0.0
611,Dy0.5 Co0.5,0.0
611,Dy0.4 Co0.6,1.0
611,Dy0.3 Co0.7,0.0
611,Dy0.2 Co0.8,1.0
611,Dy0.1 Co0.9,0.0
611,Co1,1.0
612,Dy1,1.0
612,Dy0.9 Cr0.1,0.0
612,Dy0.8 Cr0.2,0.0
612,Dy0.7 Cr0.3,0.0
612,Dy0.6 Cr0.4,0.0
612,Dy0.5 Cr0.5,0.0
612,Dy0.4 Cr0.6,0.0
612,Dy0.3 Cr0.7,0.0
612,Dy0.2 Cr0.8,0.0
612,Dy0.1 Cr0.9,0.0
612,Cr1,1.0
613,Dy1,1.0
613,Dy0.9 Er0.1,0.0
613,Dy0.8 Er0.2,0.0
613,Dy0.7 Er0.3,0.0
613,Dy0.6 Er0.4,0.0
613,Dy0.5 Er0.5,0.0
613,Dy0.4 Er0.6,0.0
613,Dy0.3 Er0.7,0.0
613,Dy0.2 Er0.8,0.0
613,Dy0.1 Er0.9,0.0
613,Er1,1.0
614,Dy1,1.0
614,Dy0.9 He0.1,0.0
614,Dy0.8 He0.2,0.0
614,Dy0.7 He0.3,0.0
614,Dy0.6 He0.4,0.0
614,Dy0.5 He0.5,0.0
614,Dy0.4 He0.6,0.0
614,Dy0.3 He0.7,0.0
614,Dy0.2 He0.8,0.0
614,Dy0.1 He0.9,0.0
614,He1,1.0
615,Dy1,1.0
615,Dy0.9 Hg0.1,0.0
615,Dy0.8 Hg0.2,0.0
